key_resp.keys,key_resp.rt,typedWord,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,trials.order,prompt,participant,session,date,expName,psychopyVersion,frameRate
space,10.92700005,kdddajdlkjperiods lperiod d ksl dif,1,0,5,0,1,4,type,1,001,2020-08-03_14h16.17.067,inputText,3.1.3,60
,,sdsfkjs,1,0,5,1,1,4,this,1,001,2020-08-03_14h16.17.067,inputText,3.1.3,60
,,,1,0,5,2,1,4,word,1,001,2020-08-03_14h16.17.067,inputText,3.1.3,60
,,,1,0,5,3,1,4,in,1,001,2020-08-03_14h16.17.067,inputText,3.1.3,60
,,asf,1,0,5,4,1,4,Titlecase,1,001,2020-08-03_14h16.17.067,inputText,3.1.3,60
